doc_id,item,category,amount,price,discount
CJQ128723,Кастрюля 3л,посуда,4,1290.0,1288.93
CJQ128723,Сковорода 24см,посуда,2,1590.0,0.0
TXO141754,Швабра,инвентарь,1,690.0,0.0
TXO141754,Порошок Tide,бытовая химия,2,599.9,0.0
EXN130067,Полотенце махровое,текстиль,1,450.0,0.0
EXN130067,Средство для мытья,бытовая химия,3,349.5,0.0
EXN130067,Кастрюля 3л,посуда,1,1290.0,0.0
SYC348967,Набор постельного,текстиль,1,1890.0,0.0
SYC348967,Средство для мытья,бытовая химия,2,349.5,0.0
SYC348967,Набор постельного,текстиль,4,1890.0,0.0
SYC348967,Набор постельного,текстиль,3,1890.0,0.0
OEZ557944,Кружка керамическая,посуда,3,290.0,0.0
OEZ557944,Кастрюля 3л,посуда,1,1290.0,0.0
OEZ557944,Порошок Tide,бытовая химия,5,599.9,0.0
OEZ557944,Кастрюля 3л,посуда,1,1290.0,201.88
CLM866319,Швабра,инвентарь,1,690.0,0.0
CLM866319,Порошок Tide,бытовая химия,2,599.9,0.0
UKI011854,Сковорода 24см,посуда,4,1590.0,0.0
UKI011854,Порошок Tide,бытовая химия,3,599.9,0.0
YBA180250,Кружка керамическая,посуда,4,290.0,0.0
RAG325358,Порошок Tide,бытовая химия,2,599.9,0.0
RAG325358,Швабра,инвентарь,4,690.0,699.07
RAG325358,Полотенце махровое,текстиль,2,450.0,116.25
NDE349882,Швабра,инвентарь,3,690.0,0.0
NDE349882,Кружка керамическая,посуда,2,290.0,0.0
NDE349882,Сковорода 24см,посуда,3,1590.0,828.7
NDE349882,Средство для мытья,бытовая химия,1,349.5,0.0
KON377779,Кружка керамическая,посуда,3,290.0,0.0
ZPZ429726,Кружка керамическая,посуда,4,290.0,0.0
ZPZ429726,Порошок Tide,бытовая химия,1,599.9,0.0
ZPZ429726,Средство для мытья,бытовая химия,5,349.5,0.0
BGT688214,Кружка керамическая,посуда,3,290.0,0.0
BGT688214,Швабра,инвентарь,3,690.0,209.86
XJZ530457,Кружка керамическая,посуда,5,290.0,0.0
XJZ530457,Набор постельного,текстиль,2,1890.0,488.12
PIZ615665,Набор постельного,текстиль,3,1890.0,0.0
BCE346100,Средство для мытья,бытовая химия,5,349.5,514.43
SPB833308,Средство для мытья,бытовая химия,5,349.5,431.11
SPB833308,Полотенце махровое,текстиль,4,450.0,0.0
TJS420420,Кружка керамическая,посуда,1,290.0,0.0
TJS420420,Порошок Tide,бытовая химия,1,599.9,0.0
TJS420420,Швабра,инвентарь,5,690.0,0.0
TJS420420,Порошок Tide,бытовая химия,5,599.9,203.21
BKJ680740,Порошок Tide,бытовая химия,4,599.9,342.33
BKJ680740,Кружка керамическая,посуда,5,290.0,0.0
BKJ680740,Сковорода 24см,посуда,1,1590.0,280.25
HNJ742270,Кружка керамическая,посуда,1,290.0,0.0
